student_id,event_timestamp,skill_gap_index
CSE_0001,2026-01-01 00:00:00+00:00,10.89
CSE_0002,2026-01-01 00:00:00+00:00,0.0
CSE_0003,2026-01-01 00:00:00+00:00,0.0
CSE_0004,2026-01-01 00:00:00+00:00,0.0
CSE_0005,2026-01-01 00:00:00+00:00,0.0
CSE_0006,2026-01-01 00:00:00+00:00,9.84
CSE_0007,2026-01-01 00:00:00+00:00,16.22
CSE_0008,2026-01-01 00:00:00+00:00,4.43
CSE_0009,2026-01-01 00:00:00+00:00,0.0
CSE_0010,2026-01-01 00:00:00+00:00,7.57
CSE_0011,2026-01-01 00:00:00+00:00,15.87
CSE_0012,2026-01-01 00:00:00+00:00,0.0
CSE_0013,2026-01-01 00:00:00+00:00,0.0
CSE_0014,2026-01-01 00:00:00+00:00,30.75
CSE_0015,2026-01-01 00:00:00+00:00,0.0
CSE_0016,2026-01-01 00:00:00+00:00,12.82
CSE_0017,2026-01-01 00:00:00+00:00,0.0
CSE_0018,2026-01-01 00:00:00+00:00,30.45
CSE_0019,2026-01-01 00:00:00+00:00,28.26
CSE_0020,2026-01-01 00:00:00+00:00,26.2
CSE_0021,2026-01-01 00:00:00+00:00,10.29
CSE_0022,2026-01-01 00:00:00+00:00,11.51
CSE_0023,2026-01-01 00:00:00+00:00,40.14
CSE_0024,2026-01-01 00:00:00+00:00,0.0
CSE_0025,2026-01-01 00:00:00+00:00,38.66
CSE_0026,2026-01-01 00:00:00+00:00,0.0
CSE_0027,2026-01-01 00:00:00+00:00,23.6
CSE_0028,2026-01-01 00:00:00+00:00,16.88
CSE_0029,2026-01-01 00:00:00+00:00,17.94
CSE_0030,2026-01-01 00:00:00+00:00,10.15
CSE_0031,2026-01-01 00:00:00+00:00,18.33
CSE_0032,2026-01-01 00:00:00+00:00,45.99
CSE_0033,2026-01-01 00:00:00+00:00,0.0
CSE_0034,2026-01-01 00:00:00+00:00,0.0
CSE_0035,2026-01-01 00:00:00+00:00,28.94
CSE_0036,2026-01-01 00:00:00+00:00,0.0
CSE_0037,2026-01-01 00:00:00+00:00,11.32
CSE_0038,2026-01-01 00:00:00+00:00,23.99
CSE_0039,2026-01-01 00:00:00+00:00,35.52
CSE_0040,2026-01-01 00:00:00+00:00,15.03
CSE_0041,2026-01-01 00:00:00+00:00,4.12
CSE_0042,2026-01-01 00:00:00+00:00,0.0
CSE_0043,2026-01-01 00:00:00+00:00,6.86
CSE_0044,2026-01-01 00:00:00+00:00,0.0
CSE_0045,2026-01-01 00:00:00+00:00,28.96
CSE_0046,2026-01-01 00:00:00+00:00,0.69
CSE_0047,2026-01-01 00:00:00+00:00,9.02
CSE_0048,2026-01-01 00:00:00+00:00,0.0
CSE_0049,2026-01-01 00:00:00+00:00,0.0
CSE_0050,2026-01-01 00:00:00+00:00,22.79
CSE_0051,2026-01-01 00:00:00+00:00,1.13
CSE_0052,2026-01-01 00:00:00+00:00,8.88
CSE_0053,2026-01-01 00:00:00+00:00,16.36
CSE_0054,2026-01-01 00:00:00+00:00,0.0
CSE_0055,2026-01-01 00:00:00+00:00,6.62
CSE_0056,2026-01-01 00:00:00+00:00,0.0
CSE_0057,2026-01-01 00:00:00+00:00,32.92
CSE_0058,2026-01-01 00:00:00+00:00,35.8
CSE_0059,2026-01-01 00:00:00+00:00,29.0
CSE_0060,2026-01-01 00:00:00+00:00,0.0
CSE_0061,2026-01-01 00:00:00+00:00,31.94
CSE_0062,2026-01-01 00:00:00+00:00,20.09
CSE_0063,2026-01-01 00:00:00+00:00,8.59
CSE_0064,2026-01-01 00:00:00+00:00,13.61
CSE_0065,2026-01-01 00:00:00+00:00,6.25
CSE_0066,2026-01-01 00:00:00+00:00,34.19
CSE_0067,2026-01-01 00:00:00+00:00,8.12
CSE_0068,2026-01-01 00:00:00+00:00,6.33
CSE_0069,2026-01-01 00:00:00+00:00,17.48
CSE_0070,2026-01-01 00:00:00+00:00,3.24
CSE_0071,2026-01-01 00:00:00+00:00,29.38
CSE_0072,2026-01-01 00:00:00+00:00,31.29
CSE_0073,2026-01-01 00:00:00+00:00,0.0
CSE_0074,2026-01-01 00:00:00+00:00,15.9
CSE_0075,2026-01-01 00:00:00+00:00,20.76
CSE_0076,2026-01-01 00:00:00+00:00,0.0
CSE_0077,2026-01-01 00:00:00+00:00,6.24
CSE_0078,2026-01-01 00:00:00+00:00,0.0
